label,message,timestamp
ham,"Hey, how are you doing today?",2025-08-07 15:47:29.601475
ham,Meeting is at 3pm tomorrow,2025-08-07 15:47:29.601475
ham,Thanks for the help yesterday,2025-08-07 15:47:29.601475
ham,Can you send me the report?,2025-08-07 15:47:29.601475
ham,Happy birthday! Hope you have a great day,2025-08-07 15:47:29.601475
ham,See you at lunch,2025-08-07 15:47:29.601475
ham,The weather is nice today,2025-08-07 15:47:29.601475
ham,"Good morning, have a great day ahead",2025-08-07 15:47:29.601475
ham,How was your weekend?,2025-08-07 15:47:29.601475
ham,Let me know when you are free,2025-08-07 15:47:29.601475
ham,Thanks for the quick response,2025-08-07 15:47:29.601475
ham,Great job on the presentation,2025-08-07 15:47:29.601475
ham,I will be there in 10 minutes,2025-08-07 15:47:29.601475
ham,Can we reschedule our meeting?,2025-08-07 15:47:29.601475
ham,Hope you feel better soon,2025-08-07 15:47:29.601475
ham,Congratulations on your promotion,2025-08-07 15:47:29.601475
ham,The document looks good to me,2025-08-07 15:47:29.601475
ham,Drive safely,2025-08-07 15:47:29.601475
ham,Let me know if you need anything,2025-08-07 15:47:29.601475
ham,Have a safe trip,2025-08-07 15:47:29.601475
ham,Good luck with your interview,2025-08-07 15:47:29.601475
ham,Thank you for your time today,2025-08-07 15:47:29.601475
ham,Looking forward to our meeting,2025-08-07 15:47:29.601475
ham,Hope everything is going well,2025-08-07 15:47:29.601475
ham,The project is on track,2025-08-07 15:47:29.601475
ham,Can you please review this?,2025-08-07 15:47:29.601475
ham,I will call you later,2025-08-07 15:47:29.601475
ham,Thanks for the update,2025-08-07 15:47:29.601475
ham,See you next week,2025-08-07 15:47:29.601475
ham,Have a wonderful evening,2025-08-07 15:47:29.601475
ham,The presentation went well,2025-08-07 15:47:29.601475
ham,I appreciate your help,2025-08-07 15:47:29.601475
ham,Let me know your thoughts,2025-08-07 15:47:29.601475
ham,Hope you have a relaxing weekend,2025-08-07 15:47:29.601475
ham,Good to hear from you,2025-08-07 15:47:29.601475
ham,Take care of yourself,2025-08-07 15:47:29.601475
ham,I will send you the details,2025-08-07 15:47:29.601475
ham,Thanks for being patient,2025-08-07 15:47:29.601475
ham,Hope your day goes well,2025-08-07 15:47:29.601475
ham,Looking forward to hearing from you,2025-08-07 15:47:29.601475
ham,I hope this message finds you well,2025-08-07 15:47:29.601475
ham,Have a productive day,2025-08-07 15:47:29.601475
ham,Thank you for your understanding,2025-08-07 15:47:29.601475
ham,I will get back to you soon,2025-08-07 15:47:29.601475
ham,Hope you are doing well,2025-08-07 15:47:29.601475
ham,Please let me know if this works,2025-08-07 15:47:29.601475
ham,I appreciate your feedback,2025-08-07 15:47:29.601475
ham,Have a great rest of your day,2025-08-07 15:47:29.601475
ham,Thank you for your cooperation,2025-08-07 15:47:29.601475
ham,I will keep you updated,2025-08-07 15:47:29.601475
ham,Hope this helps,2025-08-07 15:47:29.601475
spam,URGENT! You have won $1000000! Click here now!,2025-08-07 15:47:29.601475
spam,FREE MONEY! Act now or lose forever!,2025-08-07 15:47:29.601475
spam,CONGRATULATIONS! You are our lucky winner! Claim your prize now!,2025-08-07 15:47:29.601475
spam,Limited time offer! Get 90% OFF!,2025-08-07 15:47:29.601475
spam,URGENT: Your account will be closed! Click to verify now!,2025-08-07 15:47:29.601475
spam,You have been selected for a special offer!,2025-08-07 15:47:29.601475
spam,WIN BIG! Play our casino games now!,2025-08-07 15:47:29.601475
spam,FREE iPhone! Click here to claim yours!,2025-08-07 15:47:29.601475
spam,URGENT: Update your payment info immediately!,2025-08-07 15:47:29.601475
spam,You qualify for a $5000 loan! Apply now!,2025-08-07 15:47:29.601475
